ApplicantID,EmployedWith,ProofOfIdentityProvided,NumberOfDependents
APP-8924,No,Yes,3
APP-8934,No,Yes,2
APP-8938,Yes,No,4
APP-8956,Yes,Yes,1
APP-8970,No,Yes,3
APP-8981,Yes,No,5
APP-9001,Yes,Yes,5
APP-9021,No,No,5
APP-9035,Yes,No,2
APP-9066,No,No,2
APP-9116,No,No,0
APP-9137,Yes,No,3
APP-9152,Yes,No,0
APP-9164,Yes,Yes,4
APP-9192,No,No,4
APP-9223,No,No,0
APP-9234,Yes,Yes,3
APP-9264,Yes,Yes,0
APP-9292,No,Yes,5
APP-9294,No,No,0
APP-9320,Yes,Yes,3
APP-9330,Yes,No,4
APP-9434,Yes,Yes,1
APP-9442,No,Yes,0
APP-9467,No,Yes,5
APP-9474,Yes,No,5
APP-9480,No,Yes,0
APP-9500,Yes,Yes,2
APP-9523,Yes,No,3
APP-9560,Yes,No,2
APP-9578,No,No,4
APP-9595,Yes,No,2
APP-9599,No,No,3
APP-9695,Yes,No,0
APP-9698,Yes,No,0
APP-9702,Yes,Yes,1
APP-9735,No,Yes,4
APP-9738,Yes,Yes,0
APP-9745,No,No,2
APP-9748,Yes,No,1
APP-9782,Yes,Yes,1
APP-9809,Yes,No,4
APP-9844,Yes,No,1
APP-9882,Yes,No,5
APP-9899,Yes,No,3
APP-9926,No,No,2
APP-9935,No,Yes,1
APP-9939,Yes,Yes,0
APP-9940,Yes,No,2
APP-9955,Yes,No,4
APP-10113,Yes,No,1
APP-10193,Yes,Yes,2
APP-10194,No,Yes,0
APP-10199,Yes,Yes,1
APP-10250,Yes,No,4
APP-10291,Yes,No,4
APP-10360,Yes,No,4
APP-10404,No,No,5
APP-10451,Yes,Yes,1
APP-10491,Yes,Yes,1
APP-10516,No,No,1
APP-10535,Yes,Yes,0
APP-10537,No,No,5
APP-10549,No,No,4
APP-10707,Yes,Yes,2
APP-10713,No,Yes,5
APP-10717,Yes,Yes,2
APP-10737,No,Yes,1
APP-10741,Yes,No,4
APP-10951,Yes,No,4
APP-10953,No,No,1
APP-10973,No,No,0
APP-11105,No,Yes,2
APP-11143,No,No,2
APP-11212,Yes,No,3
APP-11261,Yes,Yes,1
APP-11307,Yes,No,2
APP-11430,Yes,No,2
APP-11434,Yes,No,0
APP-11531,No,No,5
APP-11661,Yes,No,1
APP-11781,Yes,Yes,1
APP-11976,Yes,No,5
APP-11986,No,No,5
APP-12505,No,No,5
APP-12678,No,Yes,2
APP-12890,Yes,Yes,2
APP-12909,No,No,4
APP-13073,Yes,No,3
APP-13109,No,Yes,5
APP-13181,No,No,2
APP-13222,Yes,Yes,1
APP-13304,Yes,No,4
APP-13553,No,Yes,0
APP-13770,Yes,No,1
APP-13796,No,No,4
APP-13837,Yes,Yes,5
APP-13870,Yes,Yes,1
APP-13877,Yes,Yes,5
APP-13887,Yes,No,1
APP-13949,Yes,No,1
APP-14070,Yes,No,2
APP-14082,No,No,2
APP-14712,Yes,No,3
APP-14714,No,No,0
APP-15068,No,No,0
APP-15177,No,Yes,2
APP-15363,Yes,No,1
APP-15552,Yes,Yes,1
APP-15713,Yes,No,5
APP-15774,No,Yes,4
APP-15970,No,Yes,5
APP-16044,Yes,Yes,5
APP-16122,Yes,No,4
APP-16229,No,Yes,4
APP-16355,Yes,No,5
APP-16358,No,Yes,0
APP-16410,No,Yes,0
APP-16416,No,Yes,4
APP-16458,Yes,Yes,4
APP-16618,Yes,Yes,4
APP-16770,No,Yes,0
APP-16842,No,Yes,2
APP-16927,Yes,Yes,5
APP-17254,Yes,Yes,5
APP-17264,No,No,5
APP-17271,No,Yes,5
APP-17306,No,Yes,1
APP-17319,No,Yes,5
APP-17345,Yes,No,5
APP-17418,Yes,Yes,2
APP-17427,No,No,0
APP-17457,No,No,0
APP-17473,Yes,Yes,4
APP-17480,Yes,Yes,2
APP-17532,No,Yes,0
APP-17556,Yes,Yes,3
APP-17637,Yes,Yes,2
APP-17672,No,Yes,2
APP-17692,No,No,0
APP-17856,No,Yes,1
APP-17862,Yes,Yes,0
APP-17867,No,No,2
APP-17924,No,Yes,3
APP-17929,No,Yes,2
APP-17934,No,No,0
APP-18020,Yes,Yes,5
APP-18028,Yes,No,4
APP-18032,Yes,Yes,1
APP-18134,Yes,No,2
APP-18179,No,No,3
APP-18512,No,Yes,3
APP-1351,No,Yes,3
APP-1407,No,Yes,1
APP-1495,Yes,No,5
APP-1500,Yes,No,2
APP-1540,Yes,Yes,4
APP-1632,Yes,No,0
APP-1649,Yes,No,5
APP-1651,No,No,2
APP-1833,No,Yes,2
APP-1840,Yes,No,4
APP-1886,Yes,Yes,1
APP-1908,No,No,0
APP-1914,Yes,Yes,0
APP-1955,No,Yes,0
APP-1971,No,No,5
APP-1986,No,No,2
APP-2112,Yes,Yes,4
APP-2122,No,No,4
APP-2216,Yes,Yes,1
APP-2230,No,Yes,4
APP-2273,Yes,Yes,4
APP-2275,Yes,Yes,0
APP-2311,No,No,1
APP-2324,No,Yes,4
APP-2369,No,Yes,4
APP-2451,No,No,4
APP-2491,No,Yes,4
APP-2506,Yes,No,0
APP-2530,No,No,2
APP-2586,No,Yes,5
APP-2603,No,Yes,1
APP-2636,No,No,2
APP-2690,Yes,No,5
APP-2699,No,No,0
APP-2775,Yes,No,2
APP-2821,Yes,No,5
APP-2844,No,Yes,4
APP-2857,Yes,No,1
APP-2866,No,Yes,4
APP-2885,Yes,Yes,1
APP-2964,Yes,Yes,2
APP-2984,No,Yes,4
APP-3008,No,No,0
APP-3086,No,Yes,4
APP-3107,No,Yes,3
APP-3126,No,Yes,0
APP-3135,Yes,Yes,1
APP-3141,Yes,No,3
APP-3165,Yes,No,4
APP-3169,No,No,4
APP-3183,No,No,4
APP-3228,Yes,No,4
APP-3237,No,Yes,5
APP-3276,No,No,3
APP-3302,Yes,Yes,0
APP-3341,Yes,No,5
APP-3404,No,No,3
APP-3409,No,No,0
APP-3432,No,Yes,2
APP-3450,Yes,Yes,2
APP-3469,No,No,0
APP-3489,Yes,No,0
APP-3497,Yes,No,0
APP-3499,No,Yes,2
APP-3596,Yes,No,0
APP-3614,No,No,0
APP-3630,Yes,Yes,3
APP-3681,No,No,1
APP-3696,No,Yes,4
APP-3715,Yes,No,4
APP-3725,No,Yes,5
APP-3737,Yes,No,3
APP-3742,No,Yes,0
APP-3757,Yes,Yes,1
APP-3765,Yes,No,3
APP-3776,Yes,Yes,1
APP-3787,Yes,No,2
APP-3802,No,Yes,1
APP-3852,Yes,No,3
APP-3881,Yes,Yes,5
APP-3900,Yes,No,4
APP-3913,Yes,Yes,2
APP-3929,No,Yes,1
APP-3939,No,No,4
APP-3982,Yes,Yes,1
APP-3998,No,No,5
APP-4006,No,Yes,1
APP-4026,Yes,No,0
APP-4033,No,No,4
APP-4055,No,No,5
APP-4060,No,Yes,2
APP-4084,No,Yes,2
APP-4129,Yes,Yes,2
APP-4149,No,No,1
APP-4183,No,No,5
APP-4207,Yes,No,4
APP-4213,No,No,2
APP-4233,Yes,Yes,5
APP-4258,No,Yes,2
APP-4267,No,Yes,5
APP-4299,Yes,No,1
APP-4303,Yes,Yes,3
APP-4344,No,No,5
APP-4353,Yes,Yes,2
APP-4381,Yes,Yes,4
APP-4398,Yes,No,2
APP-4404,Yes,Yes,1
APP-4445,Yes,Yes,3
APP-4465,Yes,No,3
APP-4472,Yes,Yes,4
APP-4483,No,Yes,5
APP-4500,No,No,3
APP-4528,Yes,No,5
APP-4546,Yes,Yes,2
APP-4568,No,No,5
APP-4629,Yes,No,0
APP-4651,Yes,Yes,1
APP-4670,Yes,No,2
APP-4676,No,No,5
APP-4698,No,Yes,2
APP-4721,No,No,1
APP-4733,No,No,1
APP-4763,No,No,2
APP-4770,Yes,No,3
APP-4778,No,Yes,4
APP-4803,Yes,Yes,2
APP-4838,No,No,0
APP-4853,No,No,2
APP-4860,No,Yes,5
APP-4875,Yes,Yes,0
APP-4884,Yes,No,2
APP-4912,No,No,2
APP-4940,No,Yes,0
APP-4951,No,No,4
APP-4962,Yes,Yes,0
APP-4977,No,Yes,4
APP-4985,No,Yes,4
APP-4989,No,No,0
APP-5025,No,No,5
APP-5059,No,Yes,1
APP-5102,No,Yes,0
APP-5159,No,No,1
APP-5164,No,Yes,5
APP-5197,Yes,No,5
APP-5227,Yes,No,5
APP-5250,No,Yes,5
APP-5262,No,Yes,2
APP-5276,No,No,1
APP-5312,Yes,No,3
APP-5325,Yes,Yes,2
APP-5332,No,No,2
APP-5426,No,Yes,1
APP-5441,Yes,Yes,1
APP-5462,Yes,No,3
APP-5467,No,No,2
APP-5500,Yes,Yes,1
APP-5510,No,Yes,0
APP-5551,Yes,No,4
APP-5564,No,No,5
APP-5589,No,No,4
APP-5597,No,Yes,1
APP-5624,Yes,No,3
APP-5652,No,Yes,1
APP-5700,Yes,No,3
APP-5755,Yes,Yes,2
APP-5791,No,No,0
APP-5833,No,No,2
APP-5852,No,No,0
APP-5861,Yes,No,3
APP-5895,Yes,No,1
APP-5926,Yes,No,1
APP-5944,No,No,1
APP-5957,No,No,1
APP-5968,No,No,2
APP-5997,No,Yes,2
APP-6055,Yes,Yes,3
APP-6095,Yes,Yes,0
APP-6108,Yes,Yes,0
APP-6198,Yes,No,0
APP-6244,Yes,Yes,1
APP-6269,No,Yes,2
APP-6273,Yes,Yes,4
APP-6281,No,Yes,4
APP-6295,Yes,Yes,1
APP-6330,No,No,4
APP-6351,No,No,0
APP-6361,No,Yes,0
APP-6386,Yes,Yes,3
APP-6399,No,No,1
APP-6408,No,No,3
APP-6432,Yes,Yes,0
APP-6444,Yes,Yes,2
APP-6452,Yes,Yes,1
APP-6459,No,Yes,5
APP-6473,No,Yes,3
APP-6501,No,No,3
APP-6515,Yes,No,0
APP-6525,Yes,Yes,3
APP-6549,No,No,0
APP-6555,Yes,No,2
APP-6562,No,No,3
APP-6578,No,No,0
APP-6583,Yes,No,0
APP-6598,No,Yes,2
APP-6608,Yes,Yes,3
APP-6626,No,No,5
APP-6653,Yes,Yes,5
APP-6741,No,No,2
APP-6758,Yes,No,2
APP-6786,Yes,Yes,2
APP-6817,No,No,5
APP-6841,Yes,No,3
APP-6867,No,Yes,4
APP-6887,Yes,Yes,5
APP-6896,No,No,0
APP-6952,Yes,Yes,0
APP-6955,No,Yes,2
APP-6983,Yes,Yes,2
APP-6984,Yes,No,4
APP-7007,Yes,No,1
APP-7008,No,No,0
APP-7035,Yes,Yes,1
APP-7055,No,No,2
APP-7108,No,Yes,0
APP-7112,Yes,Yes,0
APP-7120,No,Yes,2
APP-7156,Yes,Yes,1
APP-7165,Yes,Yes,1
APP-7171,No,Yes,3
APP-7176,No,Yes,3
APP-7197,No,No,4
APP-7202,Yes,Yes,4
APP-7218,Yes,No,1
APP-7240,Yes,No,2
APP-7244,No,Yes,1
APP-7280,No,No,0
APP-7290,No,Yes,3
APP-7325,Yes,Yes,3
APP-7387,Yes,Yes,5
APP-7438,Yes,No,1
APP-7464,Yes,No,0
APP-7467,Yes,No,1
APP-7484,No,Yes,5
APP-7525,No,Yes,1
APP-7534,No,No,1
APP-7567,Yes,No,0
APP-7666,Yes,No,3
APP-7686,No,Yes,2
APP-7699,Yes,Yes,5
APP-7710,No,Yes,4
APP-7727,Yes,No,0
APP-7762,Yes,Yes,3
APP-7819,No,Yes,1
APP-7835,Yes,No,2
APP-7841,No,Yes,4
APP-7886,No,No,5
APP-7903,Yes,No,4
APP-7909,Yes,Yes,0
APP-8046,No,No,1
APP-8050,No,No,1
APP-8057,Yes,Yes,2
APP-8113,No,No,4
APP-8129,Yes,No,0
APP-8183,Yes,No,1
APP-8231,Yes,No,4
APP-8260,Yes,Yes,4
APP-8294,Yes,Yes,3
APP-8334,No,No,2
APP-8340,Yes,Yes,1
APP-8349,Yes,No,3
APP-8363,Yes,Yes,2
APP-8388,No,No,3
APP-8398,No,Yes,1
APP-8407,Yes,No,0
APP-8414,Yes,No,3
APP-8434,Yes,No,3
APP-8443,Yes,Yes,4
APP-8463,Yes,Yes,5
APP-8473,Yes,No,1
APP-8503,Yes,No,3
APP-8511,No,Yes,5
APP-8558,Yes,Yes,0
APP-8638,No,Yes,3
APP-8642,No,No,2
APP-8665,No,Yes,0
APP-8692,Yes,Yes,0
APP-8699,Yes,Yes,3
APP-8728,Yes,No,3
APP-8835,No,No,4
APP-8848,Yes,Yes,1
APP-8892,No,Yes,4
APP-8899,No,No,2
APP-8931,Yes,Yes,1
APP-8949,No,Yes,4
APP-8958,Yes,No,4
APP-8976,Yes,No,3
APP-8982,Yes,No,4
APP-8989,Yes,Yes,3
APP-9111,No,Yes,0
APP-9123,Yes,No,1
APP-9126,Yes,Yes,3
APP-9141,No,Yes,5
APP-9159,No,Yes,5
APP-9167,Yes,No,5
APP-9190,No,No,5
APP-9226,No,Yes,4
APP-9288,Yes,Yes,5
APP-9304,Yes,No,3
APP-9340,Yes,No,0
APP-9341,No,No,2
APP-9365,No,Yes,2
APP-9366,No,Yes,0
APP-9380,Yes,No,4
APP-9422,Yes,No,1
APP-9454,Yes,Yes,1
APP-9485,Yes,No,3
APP-9504,No,Yes,2
APP-9508,No,Yes,0
APP-9533,Yes,Yes,4
APP-9555,Yes,No,0
APP-9593,Yes,Yes,2
APP-9608,Yes,Yes,0
APP-9612,Yes,Yes,0
APP-9619,Yes,No,0
APP-9694,Yes,No,3
APP-9838,Yes,Yes,4
APP-9859,Yes,Yes,1
APP-9891,Yes,No,4
APP-9903,No,Yes,2
APP-9908,Yes,Yes,1
APP-9919,No,No,5
APP-9958,Yes,Yes,3
APP-9961,Yes,No,1
APP-9990,Yes,Yes,1
APP-10053,Yes,Yes,1
APP-10102,No,Yes,0
APP-10106,Yes,No,2
APP-10120,No,Yes,5
APP-10128,No,No,3
APP-10173,No,Yes,5
APP-10180,No,Yes,2
APP-10212,No,No,0
APP-10242,Yes,No,3
APP-10252,No,No,5
APP-10275,Yes,No,0
APP-10355,Yes,Yes,3
APP-10366,Yes,Yes,3
APP-10382,No,Yes,4
APP-10391,No,No,0
APP-10400,Yes,No,2
APP-10425,No,Yes,5
APP-10429,Yes,Yes,0
APP-10446,Yes,Yes,5
APP-10456,Yes,Yes,0
APP-10487,Yes,Yes,0
APP-10495,Yes,Yes,4
APP-10583,No,Yes,4
APP-10610,No,Yes,4
APP-10622,Yes,No,4
APP-10625,Yes,No,0
APP-10666,No,Yes,2
APP-10723,No,No,1
APP-10726,Yes,Yes,0
APP-10752,Yes,Yes,5
APP-10764,No,No,2
APP-10766,No,Yes,1
APP-10799,Yes,Yes,1
APP-10826,Yes,No,4
APP-10838,No,Yes,1
APP-10848,Yes,Yes,5
APP-10883,No,No,5
APP-10886,Yes,Yes,2
APP-10891,No,No,4
APP-10930,Yes,Yes,0
APP-10942,Yes,Yes,0
APP-11003,No,No,4
APP-11013,Yes,Yes,4
APP-11035,No,No,1
APP-11037,Yes,No,1
APP-11038,Yes,Yes,2
APP-11054,Yes,No,4
APP-11057,No,Yes,0
APP-11079,Yes,Yes,2
APP-11095,Yes,No,0
APP-11108,Yes,Yes,0
APP-11113,No,Yes,2
APP-11117,No,No,0
APP-11149,Yes,Yes,4
APP-11167,Yes,Yes,5
APP-11170,No,No,4
APP-11180,Yes,No,2
APP-11182,No,Yes,0
APP-11220,No,Yes,0
APP-11240,No,Yes,1
APP-11253,Yes,Yes,3
APP-11264,No,No,2
APP-11296,No,No,5
APP-11327,No,No,0
APP-11354,Yes,No,2
APP-11367,Yes,No,1
APP-11375,Yes,Yes,2
APP-11392,No,Yes,4
APP-11479,No,Yes,0
APP-11486,Yes,No,1
APP-11515,Yes,Yes,4
APP-11579,Yes,No,3
APP-11595,No,Yes,3
APP-11617,No,No,2
APP-11689,Yes,No,0
APP-11714,Yes,Yes,3
APP-11773,Yes,No,1
APP-11793,No,Yes,0
APP-11810,No,No,5
APP-11821,No,Yes,1
APP-11823,Yes,Yes,1
APP-11866,No,Yes,1
APP-11993,Yes,Yes,5
APP-12070,No,No,3
APP-12074,Yes,No,2
APP-12090,No,Yes,3
APP-12095,No,Yes,3
APP-12105,No,No,2
APP-12119,No,Yes,4
APP-12121,Yes,Yes,1
APP-12126,Yes,Yes,5
APP-12131,No,No,4
APP-12152,Yes,No,1
APP-12160,Yes,No,4
APP-12173,Yes,Yes,1
APP-12264,No,No,2
APP-12294,Yes,No,2
APP-12329,Yes,Yes,5
APP-12350,Yes,No,2
APP-12388,Yes,No,0
APP-12400,No,No,5
APP-12414,No,No,5
APP-12449,No,No,1
APP-12458,Yes,No,2
APP-12463,No,No,4
APP-12473,No,Yes,0
APP-12561,Yes,Yes,5
APP-12597,No,No,0
APP-12600,No,No,5
APP-12698,No,Yes,2
APP-12800,No,No,3
APP-12829,Yes,Yes,2
APP-12850,Yes,No,5
APP-12854,No,No,3
APP-12875,Yes,No,2
APP-12879,Yes,No,1
APP-12895,No,No,4
APP-12972,No,No,5
APP-12986,Yes,No,5
APP-13007,No,Yes,3
APP-13034,No,Yes,3
APP-13039,No,No,0
APP-13048,Yes,No,3
APP-13051,Yes,Yes,1
APP-13096,Yes,Yes,4
APP-13149,Yes,Yes,3
APP-13185,Yes,Yes,0
APP-13224,Yes,No,5
APP-13230,Yes,Yes,4
APP-13253,No,Yes,3
APP-13270,Yes,No,1
APP-13298,No,Yes,1
APP-13306,No,No,4
APP-13332,Yes,Yes,0
APP-13391,No,No,1
APP-13448,No,Yes,2
APP-13485,Yes,Yes,2
APP-13531,No,Yes,3
APP-13594,Yes,No,1
APP-13616,No,No,2
APP-13619,Yes,Yes,3
APP-13633,No,No,3
APP-13658,Yes,Yes,3
APP-13678,No,No,0
APP-13707,Yes,Yes,3
APP-13741,No,Yes,0
APP-13789,No,Yes,2
APP-13879,Yes,No,3
APP-13999,No,Yes,2
APP-14014,Yes,Yes,1
APP-14023,No,Yes,0
APP-14103,Yes,No,2
APP-14113,No,No,3
APP-14128,No,No,2
APP-14139,Yes,No,3
APP-14183,Yes,No,4
APP-14223,Yes,Yes,5
APP-14251,No,No,0
APP-14283,Yes,Yes,1
APP-14296,No,No,2
APP-14311,No,No,5
APP-14346,Yes,No,2
APP-14350,No,No,4
APP-14359,Yes,Yes,3
APP-14394,Yes,No,1
APP-14436,No,No,3
APP-14440,Yes,Yes,3
APP-14447,Yes,Yes,2
APP-14469,No,No,2
APP-14478,Yes,Yes,2
APP-14486,No,Yes,5
APP-14558,No,Yes,0
APP-14609,Yes,No,0
APP-14675,Yes,No,2
APP-14713,No,Yes,3
APP-14744,Yes,No,1
APP-14766,Yes,Yes,1
APP-14777,No,Yes,3
APP-14811,Yes,No,5
APP-14820,No,Yes,4
APP-14828,Yes,Yes,3
APP-14837,Yes,No,1
APP-14845,Yes,Yes,4
APP-14882,No,No,5
APP-14895,No,No,5
APP-14909,No,Yes,4
APP-14931,Yes,Yes,1
APP-14938,Yes,Yes,4
APP-14966,Yes,Yes,5
APP-14973,Yes,Yes,0
APP-14983,No,No,2
APP-14988,No,No,5
APP-14992,Yes,Yes,5
APP-15018,No,No,4
APP-15023,Yes,Yes,4
APP-15037,No,No,0
APP-15040,Yes,Yes,0
APP-15076,Yes,Yes,3
APP-15101,Yes,No,1
APP-15107,Yes,Yes,3
APP-15163,No,No,5
APP-15165,Yes,Yes,1
APP-15182,Yes,Yes,0
APP-15194,No,No,2
APP-15197,No,No,1
APP-15212,No,Yes,1
APP-15219,Yes,Yes,0
APP-15221,No,No,4
APP-15243,No,No,3
APP-15248,Yes,No,2
APP-15267,Yes,No,5
APP-15278,Yes,No,1
APP-15286,Yes,Yes,4
APP-15299,Yes,No,0
APP-15323,Yes,No,1
APP-15335,No,No,4
APP-15358,No,Yes,5
APP-15387,No,No,3
APP-15402,No,No,0
APP-15457,Yes,No,4
APP-15467,No,Yes,4
APP-15471,No,No,1
APP-15531,Yes,No,5
APP-15543,No,No,5
APP-15567,No,No,3
APP-15576,No,No,5
APP-15642,No,Yes,0
APP-15661,Yes,Yes,0
APP-15690,Yes,Yes,3
APP-15709,Yes,No,2
APP-15737,No,Yes,1
APP-15747,No,No,4
APP-15751,No,No,1
APP-15789,Yes,No,3
APP-15800,Yes,No,4
APP-15829,No,No,2
APP-15834,No,No,5
APP-15841,Yes,Yes,3
APP-15850,Yes,Yes,1
APP-15863,No,Yes,4
APP-15874,No,Yes,0
APP-15887,Yes,No,4
APP-15899,Yes,Yes,4
APP-15922,No,No,3
APP-15981,No,Yes,2
APP-15995,Yes,No,4
APP-16036,Yes,Yes,5
APP-16039,No,Yes,4
APP-16060,Yes,Yes,2
APP-16088,Yes,No,2
APP-16162,No,Yes,5
APP-16196,Yes,No,4
APP-16218,No,No,0
APP-16259,Yes,Yes,0
APP-16269,No,Yes,0
APP-16285,Yes,No,3
APP-16295,Yes,Yes,3
APP-16326,Yes,No,0
APP-16356,No,Yes,0
APP-16394,No,No,0
APP-16435,Yes,No,2
APP-16441,No,No,1
APP-16456,No,Yes,3
APP-16478,No,No,3
APP-16480,Yes,No,3
APP-16507,No,No,1
APP-16541,Yes,No,4
APP-16545,Yes,No,3
APP-16573,No,No,4
APP-16590,No,No,2
APP-16628,Yes,Yes,0
APP-16664,Yes,Yes,0
APP-16703,No,No,2
APP-16706,No,Yes,0
APP-16747,Yes,No,2
APP-16751,No,No,0
APP-16769,Yes,Yes,2
APP-16782,Yes,Yes,2
APP-16798,No,Yes,0
APP-16815,Yes,No,4
APP-16832,Yes,Yes,3
APP-16836,No,Yes,3
APP-16840,No,No,1
APP-16845,Yes,Yes,5
APP-16873,No,No,5
APP-16940,No,No,1
APP-16984,Yes,Yes,0
APP-16990,No,Yes,3
APP-16999,Yes,Yes,5
APP-17001,Yes,Yes,1
APP-17033,No,Yes,3
APP-17039,No,No,2
APP-17087,Yes,No,4
APP-17110,Yes,No,2
APP-17119,Yes,Yes,1
APP-17124,Yes,Yes,1
APP-17129,Yes,Yes,0
APP-17153,Yes,Yes,4
APP-17170,No,No,5
APP-17198,Yes,Yes,4
APP-17229,Yes,Yes,3
APP-17246,No,No,0
APP-17252,No,No,4
APP-17273,Yes,No,1
APP-17279,Yes,Yes,2
APP-17281,No,Yes,2
APP-17294,Yes,Yes,5
APP-17312,Yes,Yes,4
APP-17356,No,No,2
APP-17365,Yes,No,1
APP-17375,Yes,No,3
APP-17392,Yes,Yes,1
APP-17412,Yes,Yes,4
APP-17415,Yes,No,5
APP-17428,No,Yes,1
APP-17435,Yes,No,1
APP-17444,Yes,No,2
APP-17452,Yes,No,5
APP-17463,No,No,3
APP-17481,No,Yes,5
APP-17501,Yes,No,0
APP-17524,No,Yes,4
APP-17526,Yes,Yes,4
APP-17565,Yes,Yes,1
APP-17586,Yes,Yes,2
APP-17648,Yes,Yes,2
APP-17730,Yes,Yes,4
APP-17736,No,No,5
APP-17745,Yes,No,0
APP-17774,No,No,0
APP-17775,Yes,Yes,3
APP-17791,Yes,Yes,1
APP-17798,Yes,Yes,4
APP-17811,No,No,5
APP-17819,Yes,No,0
APP-17847,No,Yes,0
APP-17887,Yes,No,2
APP-17906,Yes,No,3
APP-17938,Yes,Yes,4
APP-17948,Yes,Yes,3
APP-17951,Yes,No,0
APP-17970,Yes,No,3
APP-18001,No,Yes,0
APP-18008,Yes,Yes,5
APP-18009,No,No,2
APP-18024,Yes,Yes,5
APP-18039,No,No,1
APP-18042,No,Yes,4
APP-18084,Yes,Yes,1
APP-18121,Yes,Yes,3
APP-18162,No,No,0
APP-18170,No,No,1
APP-18206,Yes,No,2
APP-18214,Yes,Yes,5
APP-18251,No,No,3
APP-18260,Yes,No,3
APP-18347,No,Yes,1
APP-18351,Yes,No,3
APP-18367,Yes,No,4
APP-18395,No,No,1
APP-18411,No,No,1
APP-18429,Yes,No,5
APP-18436,Yes,No,2
APP-18444,No,Yes,3
APP-18455,No,No,2
APP-18473,Yes,Yes,3
APP-18485,No,No,1
APP-18529,No,No,3
APP-18539,No,No,2
APP-18553,No,No,1
APP-18556,Yes,Yes,5
APP-18584,No,No,3
APP-18636,No,Yes,2
APP-18644,Yes,Yes,5
APP-18650,Yes,No,3
APP-18671,Yes,No,5
APP-18675,No,Yes,2
APP-18736,Yes,Yes,4
APP-18774,No,Yes,2
APP-18796,No,No,0
APP-18847,No,No,3
APP-18850,No,Yes,0
APP-18878,No,No,4
APP-18898,Yes,Yes,2
APP-18930,No,No,5
APP-19037,Yes,Yes,1
APP-19110,No,No,1
APP-19120,Yes,Yes,5
APP-19132,No,No,2
APP-19152,No,No,4
APP-19209,No,Yes,5
APP-19214,Yes,Yes,2
APP-19305,Yes,Yes,5
APP-19337,No,No,1
APP-19350,Yes,Yes,1
APP-19431,No,No,1
APP-19434,Yes,No,2
APP-19466,No,Yes,4
APP-19479,Yes,Yes,4
APP-19490,No,No,4
APP-19511,No,Yes,5
APP-19523,Yes,Yes,1
APP-19564,Yes,No,3
APP-19583,Yes,Yes,5
APP-19592,No,Yes,2
APP-19596,No,Yes,1
APP-19657,No,No,4
APP-19697,No,Yes,2
APP-19705,Yes,No,5
APP-19727,Yes,Yes,4
APP-19779,Yes,Yes,0
APP-19799,Yes,No,1
APP-19815,No,Yes,4
APP-19866,No,Yes,0
APP-19935,Yes,Yes,4
APP-19941,No,No,1
APP-19967,No,Yes,3
APP-20038,Yes,No,4
APP-20071,Yes,No,4
APP-20145,Yes,Yes,5
APP-20177,No,Yes,0
APP-20283,No,No,1
APP-20304,No,No,4
APP-20322,Yes,No,5
APP-20368,Yes,Yes,5
APP-20392,No,Yes,2
APP-20402,No,No,5
APP-20414,No,No,1
APP-20419,No,No,0
APP-20477,Yes,Yes,0
APP-20493,No,No,0
APP-20582,No,Yes,1
APP-20591,Yes,Yes,5
APP-20599,No,No,1
APP-20613,Yes,No,4
APP-20654,Yes,Yes,0
APP-20691,Yes,No,5
APP-20701,Yes,Yes,0
APP-20747,Yes,Yes,5
APP-20751,Yes,No,5
APP-20759,No,Yes,1
APP-20767,Yes,Yes,1
APP-20783,Yes,Yes,2
APP-20852,Yes,Yes,0
APP-20868,No,Yes,5
APP-20916,Yes,No,1
APP-20927,Yes,No,1
APP-20930,No,Yes,4
APP-21025,No,No,0
APP-21071,No,No,2
APP-21133,Yes,No,1
APP-21139,Yes,Yes,4
APP-21142,No,Yes,5
APP-21233,Yes,No,4
APP-21238,Yes,Yes,3
APP-21278,Yes,Yes,5
APP-21323,No,No,5
APP-21409,Yes,Yes,5
APP-21443,No,No,0
APP-21490,No,No,4
APP-21497,Yes,No,2
APP-21564,No,No,0
APP-21576,No,Yes,2
APP-21608,No,No,5
APP-21623,Yes,No,4
APP-21626,No,Yes,0
APP-21685,Yes,No,4
APP-21705,No,No,4
APP-21730,Yes,No,4
APP-21749,Yes,No,5
APP-21751,No,Yes,1
APP-21763,No,Yes,5
APP-21796,No,Yes,1
APP-21801,Yes,Yes,2
APP-21808,Yes,Yes,1
APP-21815,No,No,2
APP-21828,No,No,1
APP-21857,No,Yes,5
APP-21884,Yes,No,4
APP-21906,Yes,Yes,1
APP-21917,No,No,3
APP-21936,No,No,5
APP-21988,Yes,No,4
APP-22003,No,Yes,3
APP-22020,No,Yes,4
APP-22069,Yes,No,5
APP-22088,Yes,No,5
APP-22110,Yes,No,1
APP-22114,No,Yes,0
APP-22125,Yes,Yes,2
APP-22136,Yes,Yes,4
APP-22150,No,No,0
APP-22190,Yes,No,0
APP-22199,Yes,Yes,1
APP-22209,Yes,Yes,4
APP-22219,No,No,0
APP-22248,No,No,2
APP-22252,Yes,Yes,3
APP-22281,No,Yes,1
APP-22286,No,Yes,5
APP-22296,Yes,Yes,1
APP-22312,Yes,No,1
APP-22318,Yes,Yes,2
APP-22356,Yes,No,5
APP-22369,No,No,1
APP-22372,No,Yes,2
APP-22392,Yes,No,5
